resort|confirmation_no|resv_status|business_date|market_code|country_code|no_rooms_cal|rev_cal
Example|589625|CHECKED OUT|2/7/23|test17|HK|1|2627.25
Example|593332|CHECKED OUT|2/7/23|test9|HK|1|2388.7
Example|562467|CHECKED OUT|2/7/23|test31|DK|1|6975.93
Example|588604|CHECKED OUT|2/7/23|test21|GB|1|7350
Example|593515|CHECKED OUT|2/7/23|test20|KR|1|2048.85
Example|592347|CHECKED OUT|2/7/23|test11|QA|1|2835
Example|591561|CHECKED OUT|2/7/23|test7|BD|1|3370
Example|592527|CHECKED OUT|2/7/23|test11|NL|1|3514.7
Example|590636|CHECKED OUT|2/7/23|test15|BD|1|1235.11
Example|591607|CHECKED OUT|2/7/23|test9|KR|1|2140.1
Example|592138|CHECKED OUT|2/7/23|test11|IN|1|2949.51
Example|592348|CHECKED OUT|2/7/23|test11|QA|1|2835
Example|593250|CHECKED OUT|2/7/23|test6|NULL|1|2835
Example|592172|CHECKED OUT|2/7/23|test11|BG|1|2699.5
Example|589990|CHECKED OUT|2/7/23|test21|JP|1|3063.51
Example|589991|CHECKED OUT|2/7/23|test21|JP|1|3063.51
Example|592351|CHECKED OUT|2/7/23|test11|BD|1|2982.99
Example|589992|CHECKED OUT|2/7/23|test21|JP|1|3063.51
Example|589996|CHECKED OUT|2/7/23|test21|CN|1|3063.51
Example|592889|CHECKED OUT|2/7/23|test11|IN|1|3363.7
Example|592171|CHECKED OUT|2/7/23|test11|BD|1|2699.5
Example|591255|CHECKED OUT|3/7/23|test8|IN|1|2038.64
Example|591324|CHECKED OUT|3/7/23|test9|SG|0|0.01
Example|593373|CHECKED OUT|3/7/23|test20|SG|1|2048.85
Example|593374|CHECKED OUT|3/7/23|test20|SG|1|2298.85
Example|593390|CHECKED OUT|3/7/23|test17|NO|1|2543.12
Example|593789|CHECKED OUT|3/7/23|test11|SA|1|4050
Example|592886|CHECKED OUT|3/7/23|test11|KR|1|5100.01
Example|591348|CHECKED OUT|3/7/23|test9|KR|0|0.01
Example|593864|CHECKED OUT|3/7/23|test25|TH|1|3828.16
Example|591973|NO SHOW|3/7/23|test8|TH|0|2210.01
Example|591992|NO SHOW|3/7/23|test8|KR|0|2210.01
Example|589402|CHECKED OUT|3/7/23|test8|TH|1|2370.21
Example|589835|CHECKED OUT|3/7/23|test12|BD|1|5067.04
Example|593429|CHECKED OUT|3/7/23|test12|SA|1|2653.54
Example|593500|CHECKED OUT|3/7/23|test11|BD|1|3150
Example|593501|CHECKED OUT|3/7/23|test11|BD|1|3150
Example|591935|CHECKED OUT|3/7/23|test8|KR|0|0.02
Example|592073|CHECKED OUT|3/7/23|test20|PK|1|2300.67
Example|590275|CHECKED OUT|3/7/23|test14|IN|1|3705.62
Example|593123|CHECKED OUT|3/7/23|test9|PH|0|-0.01
Example|593545|CHECKED OUT|3/7/23|test4|IN|0|2380
Example|593565|CHECKED OUT|3/7/23|test20|AU|1|2048.85
Example|593584|CHECKED OUT|3/7/23|test11|SA|1|4770
Example|593162|CHECKED OUT|3/7/23|test9|CN|1|2299.06
Example|592721|CHECKED OUT|3/7/23|test6|TH|1|3653.35
Example|590455|CHECKED OUT|3/7/23|test9|IN|1|2643.58
Example|590026|CHECKED OUT|3/7/23|test8|TH|0|679.69
Example|591149|CHECKED OUT|3/7/23|test11|SE|1|2261.58
Example|593674|CHECKED OUT|3/7/23|test11|BR|1|3589.85
Example|593701|CHECKED OUT|3/7/23|test20|TH|1|2468.77
Example|593750|CHECKED OUT|3/7/23|test11|RU|1|3645
Example|575362|CHECKED OUT|3/7/23|test11|GB|1|4160.27
Example|592123|CHECKED OUT|3/7/23|test10|AU|0|0.01
Example|593246|CHECKED OUT|3/7/23|test7|RU|0|0.01
Example|593655|CHECKED OUT|3/7/23|test25|IN|1|2942.5
Example|590656|CHECKED OUT|3/7/23|test12|SA|1|3411.16
Example|593263|CHECKED OUT|3/7/23|test4|AE|0|0.01
Example|593665|CHECKED OUT|3/7/23|test11|US|1|3500.01
Example|575545|CHECKED OUT|3/7/23|test15|SG|0|0.02
Example|580204|CHECKED OUT|3/7/23|test22|IN|1|3778.22
Example|591422|CHECKED OUT|3/7/23|test20|US|1|2303.78
Example|591593|CHECKED OUT|3/7/23|test6|SA|1|3228.54
Example|591771|CHECKED OUT|3/7/23|test21|JP|1|2978.55
Example|591774|CHECKED OUT|3/7/23|test21|JP|1|2978.57
Example|591776|CHECKED OUT|3/7/23|test21|JP|1|2978.52
Example|589918|CHECKED OUT|3/7/23|test10|SE|1|5705.63
Example|582145|CHECKED OUT|3/7/23|test22|JP|1|3037.82
Example|591429|CHECKED OUT|1/7/23|test6|KR|1|2888.7
Example|591759|CHECKED OUT|1/7/23|test12|AE|1|2632.5
Example|562282|CHECKED OUT|1/7/23|test7|AT|1|5743.3
Example|591818|CHECKED OUT|1/7/23|test15|IT|1|3720
Example|592424|CHECKED OUT|1/7/23|test9|SA|1|2264.23
Example|590508|CHECKED OUT|1/7/23|test7|US|1|4028.56
Example|590020|CHECKED OUT|1/7/23|test19|AU|1|3440.53
Example|590642|CHECKED OUT|1/7/23|test10|US|1|3988.82
Example|574748|CHECKED OUT|1/7/23|test22|AU|1|3375.7
Example|574749|CHECKED OUT|1/7/23|test22|AU|1|3375.7
Example|587268|CHECKED OUT|1/7/23|test7|GB|1|3957.22
Example|592923|CHECKED OUT|1/7/23|test29|AU|1|5594.5
Example|589453|CHECKED OUT|1/7/23|test17|IN|1|2643.57
Example|589456|CHECKED OUT|1/7/23|test17|IN|1|2643.56
Example|574747|CHECKED OUT|1/7/23|test8|IN|1|4095.24
Example|593117|CHECKED OUT|1/7/23|test9|KR|1|2264.23
Example|593139|CHECKED OUT|1/7/23|test23|NZ|1|5156.8
Example|591758|CHECKED OUT|1/7/23|test12|AE|1|2632.5
Example|562282|CHECKED OUT|2/7/23|test7|AT|1|5743.3
Example|593541|CHECKED OUT|2/7/23|test4|US|1|2924
Example|574748|CHECKED OUT|2/7/23|test22|AU|1|3375.28
Example|574749|CHECKED OUT|2/7/23|test22|AU|1|3375.28
Example|593551|CHECKED OUT|2/7/23|test6|SA|1|5571.79
Example|590020|CHECKED OUT|2/7/23|test19|AU|1|3419
Example|574747|CHECKED OUT|2/7/23|test8|IN|1|4095.91
Example|592424|CHECKED OUT|2/7/23|test9|SA|1|2194.56
Example|593117|CHECKED OUT|2/7/23|test9|KR|1|2194.56
Example|590356|CHECKED OUT|2/7/23|test10|IN|1|3639
Example|593139|CHECKED OUT|2/7/23|test23|NZ|1|4219.21
Example|590508|CHECKED OUT|2/7/23|test7|US|1|3963.05
Example|593394|CHECKED OUT|2/7/23|test11|RU|1|2835
Example|591758|CHECKED OUT|2/7/23|test12|AE|1|2551.5
Example|591429|CHECKED OUT|2/7/23|test6|KR|1|2888.7
Example|592890|CHECKED OUT|2/7/23|test11|IN|1|3238.7
Example|587268|CHECKED OUT|2/7/23|test7|GB|1|3778.94
Example|591759|CHECKED OUT|2/7/23|test12|AE|1|2551.5
Example|589453|CHECKED OUT|2/7/23|test17|IN|1|2643.57
Example|589456|CHECKED OUT|2/7/23|test17|IN|1|2627.25
Example|590953|CHECKED OUT|2/7/23|test20|PL|1|2048.85
Example|590997|CHECKED OUT|2/7/23|test8|JP|1|2247.04
Example|591818|CHECKED OUT|2/7/23|test15|IT|1|3620
Example|592916|CHECKED OUT|2/7/23|test14|GB|1|1925.59
Example|592923|CHECKED OUT|2/7/23|test29|AU|1|4625.03
Example|590642|CHECKED OUT|2/7/23|test10|US|1|3967.92
Example|590513|CHECKED OUT|2/7/23|test22|NZ|1|2887.26
Example|592596|CHECKED OUT|2/7/23|test21|IN|1|4720.26
Example|591680|CHECKED OUT|2/7/23|test21|IN|1|4720.26
Example|593472|CHECKED OUT|2/7/23|test11|SA|1|3177.01
Example|593357|CHECKED OUT|2/7/23|test20|AE|1|2048.85
